ExternalId,Name,Foaled,Sire,Dam,Color,Sex,Avatar,AddedDate,ActiveStatus,HorseLocation,HorseStatus,Type,Category,BonusScheme,NickName
"","Billy The Kid","05/08/2013","Savabeel","Monaliesha","Bay","Gelding","","","","","","","","",""
"","Divine Dice","15/09/2013","Casino Prince","Loves Attention","Bay or Brown","Gelding","","","","","","","","",""
"","Rich Affair","16/08/2013","Written Tycoon","Courtship","Black","Gelding","","","","","","","","",""
"","Mystic Eyes","11/08/2014","Magic Albert","Allowable","Grey","Filly","","","","","","","","",""
"","Pippie","13/10/2015","Written Tycoon","Coupe Express","Chestnut","Filly","","","","","","","","",""
"","Born Bad","08/09/2015","I Am Invincible","Dashitude","Bay","Colt","","","","","","","","",""
"","Boom Girl","21/08/2015","Spirit of Boom","Wisp o' Will","Brown","Filly","","","","","","","","",""
"","El Chaparro","05/10/2015","High Chaparral","Starry Light","Bay or Brown","Colt","","","","","","","","",""
"","Evita La Vie","14/10/2016","Sidestep","Annie la Vie","Bay","Filly","","","","","","","","",""
"","Corksapoppin'","28/09/2016","Reward for Effort","Swoosh","Bay","Filly","","","","","","","","",""
"","Letsava Junglejuce","16/11/2015","Savabeel","Jungle Juice","Bay","Filly","","","","","","","","",""
"","Makfi Amour","12/09/2015","Makfi","Notre Amour","Bay","Colt","","","","","","","","",""
"","Boom Express","18/10/2016","Spirit of Boom","Coupe Express","Brown","Filly","","","","","","","","",""
"","My Bluewings","30/09/2016","Zoustar","Helping Hand","Bay","Filly","","","","","","","","",""
"","Brazen Rascal","15/08/2016","Brazen Beau","Rasala","Brown","Gelding","","","","","","","","",""
"","Barboom","23/09/2016","Spirit of Boom","Baroque Pearl","Bay","Colt","","","","","","","","",""
"","Lord Graycliff","19/09/2016","Chosen to Fly","Candice","Bay","Gelding","","","","","","","","",""
"","Brazen Princess","28/09/2016","Brazen Beau","Sistine Princess","Brown","Filly","","","","","","","","",""
"","Arctic Shock","04/11/2015","Shocking","Art Beat","Bay","Filly","","","","","","","","",""
"","Boss Rock","27/09/2015","Americain","And Rock","Brown or Black","Gelding","","","","","","","","",""
"","Lucky Prospector","07/02/2013","Smart Strike","Porte Bonheur","Bay","Gelding","","","","","","","","",""
"","Trevelyan","17/10/2015","Pierro","Dandesha","Bay","Gelding","","","","","","","","",""
"","Mexican Star","26/08/2017","Choisir","Mexican Gal","Bay","Filly","","","","","","","","",""
"","Harper Rose","08/10/2017","Love Conquers All","Kakama","Brown","Filly","","","","","","","","",""
"","Asher","08/08/2017","Pierro","Swift Lady","Grey","Colt","","","","","","","","",""
"","Written Tycoon Helping Hand","20/09/2017","Written Tycoon","Helping Hand","Brown","Filly","","","","","","","","",""
"","Spill Queen","20/09/2017","Spill the Beans","Costa Complete","Bay","Filly","","","","","","","","",""
"","Buddie Ollie","25/09/2016","Foxwedge","High Ideal","Chestnut","Gelding","","","","","","","","",""
"","Call Me Elvis","10/08/2017","Dissident","Ultima Carta","Brown","Colt","","","","","","","","",""
"","Jungle Judy","17/10/2015","Jungle Ruler","Duende","Brown","Mare","","","","","","","","",""
"","Sunset Sally","21/11/2016","Squamosa","Duende","Bay","Filly","","","","","","","","",""
"","Holy Roman Emperor Holly Bee","02/09/2017","Holy Roman Emperor","Holly Bee","Brown","Colt","","","","","","","","",""
"","Dream Ahead Hastily","05/09/2017","Dream Ahead","Hastily","Chestnut","Colt","","","","","","","","",""
"","Better Than Ready Out Of Purple Royale","06/10/2017","Better Than Ready","Purple Royale","Bay","Colt","","","","","","","","",""
"","Dissident Nadeem Lass","09/10/2017","Dissident","Nadeem Lass","Chestnut","Colt","","","","","","","","",""
"","Star Witness Sacred Voyage","27/10/2017","Star Witness","Sacred Voyage","Bay","Filly","","","","","","","","",""
"","Whittington Anda Cuddle","29/09/2017","Whittington","Anda Cuddle","Bay","Colt","","","","","","","","",""
"","Strategic Maneuver Rejoicing To Win","30/09/2017","Strategic Maneuver","Rejoicing to Win","Bay","Colt","","","","","","","","",""
"","More Than Ready Stellamac","09/10/2017","More Than Ready","Stellamac","Brown","Colt","","","","","","","","",""
"","Americain Candice","13/10/2017","Americain","Candice","Brown","Gelding","","","","","","","","",""
"","Aliesha","07/10/2017","Sebring","Why be Discreet","Bay","Filly","","","","","","","","",""
"","Just For Glory","13/09/2016","Olympic Glory","So Sharp it Hurts","Bay","Filly","","","","","","","","",""
"","Rageese Monte Karlo","18/10/2018","Rageese","Monte Karlo","Brown","Colt","","","","","","","","",""
"","Vanbrugh Ruby Lass","20/10/2018","Vanbrugh","Ruby Lass","Bay","Colt","","","","","","","","",""
"","Territories Autumn","31/08/2018","Territories","Autumn","Chestnut","Colt","","","","","","","","",""
